# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Wed Jan 12 06:37:51 2022
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total H2O CO2 O3 N2O CO CH4 O2 N2 Rayleigh CIA
2.677636547e+00 2.93607e-187 2.58223e-177 3.42764e-12 9.99960e-01 9.95122e-01 9.99999e-01 9.99909e-01 9.99999e-01 9.99999e-01 9.99848e-01 9.99999e-01
2.679421638e+00 2.17845e-143 3.40082e-127 3.26134e-18 9.99946e-01 9.95548e-01 9.99999e-01 9.99944e-01 9.99999e-01 9.99999e-01 9.99848e-01 9.99999e-01
2.681207919e+00 3.22743e-55 4.67053e-39 3.30346e-18 9.99946e-01 9.95281e-01 9.99999e-01 9.99972e-01 9.99999e-01 9.99999e-01 9.99848e-01 9.99999e-01
2.682995391e+00 2.76127e-56 4.00828e-39 2.22598e-19 9.99956e-01 9.96422e-01 9.99999e-01 9.99923e-01 9.99999e-01 9.99999e-01 9.99849e-01 9.99999e-01
2.684784054e+00 4.49443e-70 6.50569e-55 2.74951e-17 9.99958e-01 9.97634e-01 9.99999e-01 9.99901e-01 9.99999e-01 9.99999e-01 9.99849e-01 9.99999e-01
2.686573910e+00 1.56965e-68 6.59686e-55 1.72806e-15 9.99931e-01 9.97718e-01 9.99999e-01 9.99936e-01 9.99999e-01 9.99999e-01 9.99850e-01 9.99999e-01
2.688364960e+00 8.01883e-52 6.22995e-43 4.16577e-11 9.99973e-01 9.98239e-01 9.99999e-01 9.99951e-01 9.99999e-01 9.99999e-01 9.99850e-01 9.99999e-01
2.690157203e+00 9.87308e-31 2.02148e-25 3.63112e-07 9.99934e-01 9.98619e-01 9.99999e-01 9.99827e-01 9.99999e-01 9.99999e-01 9.99850e-01 9.99999e-01
2.691950641e+00 9.73206e-35 1.48801e-31 9.61001e-05 9.99939e-01 9.98932e-01 9.99999e-01 9.99896e-01 9.99999e-01 9.99999e-01 9.99851e-01 9.99999e-01
2.693745275e+00 1.38178e-70 1.61450e-66 2.57448e-06 9.99965e-01 9.99328e-01 9.99999e-01 9.99947e-01 9.99999e-01 9.99999e-01 9.99851e-01 9.99999e-01
2.695541105e+00 8.53669e-118 2.93653e-108 1.30885e-11 9.99224e-01 9.99524e-01 9.99999e-01 9.99970e-01 9.99999e-01 9.99999e-01 9.99852e-01 9.99999e-01
2.697338132e+00 1.56068e-44 2.12146e-34 4.76585e-12 9.95908e-01 9.99651e-01 9.99999e-01 9.99986e-01 9.99999e-01 9.99999e-01 9.99852e-01 9.99999e-01
2.699136358e+00 6.35239e-34 1.49309e-23 7.22837e-12 9.97030e-01 9.99781e-01 9.99999e-01 9.99986e-01 9.99999e-01 9.99999e-01 9.99852e-01 9.99999e-01
2.700935782e+00 3.41757e-44 2.98860e-34 1.07443e-11 9.98352e-01 9.99838e-01 9.99999e-01 9.99970e-01 9.99999e-01 9.99999e-01 9.99853e-01 9.99999e-01
2.702736406e+00 9.37474e-28 4.97316e-19 9.31502e-11 9.99489e-01 9.99893e-01 9.99999e-01 9.99979e-01 9.99999e-01 9.99999e-01 9.99853e-01 9.99999e-01
2.704538230e+00 9.01159e-27 1.13102e-18 7.94107e-10 9.99330e-01 9.99923e-01 9.99999e-01 9.99925e-01 9.99999e-01 9.99999e-01 9.99854e-01 9.99999e-01
2.706341256e+00 4.19778e-34 3.11609e-27 7.22468e-09 9.99075e-01 9.99945e-01 9.99999e-01 9.99982e-01 9.99999e-01 9.99999e-01 9.99854e-01 9.99999e-01
2.708145483e+00 1.90907e-49 1.92526e-44 6.44969e-07 9.98998e-01 9.99956e-01 9.99999e-01 9.99991e-01 9.99999e-01 9.99999e-01 9.99854e-01 9.99999e-01
2.709950913e+00 3.30696e-179 3.68520e-175 1.10569e-05 9.99075e-01 9.99964e-01 9.99999e-01 9.99933e-01 9.99999e-01 9.99999e-01 9.99855e-01 9.99999e-01
2.711757547e+00 4.93499e-66 1.73969e-62 2.27473e-05 9.99030e-01 9.99973e-01 9.99999e-01 9.99929e-01 9.99999e-01 9.99999e-01 9.99855e-01 9.99999e-01
